"side","phase","sample","supported","elapsed_usec","trace_sha256","enemy","blocker","miss","invalid","failed","transaction_count","rejected_delivery_count","tie_stable","query_calls","parameter_build_count","node_instantiate_count","node_add_count","valid"
"before","measured","14","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","15","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","15","True","550882","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","16","True","546402","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","16","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","17","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","17","True","550262","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","18","True","566457","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","18","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","19","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","19","True","594554","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","20","True","551660","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","20","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","21","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","21","True","547755","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","22","True","567985","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","22","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","23","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","23","True","557117","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","24","True","554979","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","24","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","25","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","25","True","547485","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","26","True","555772","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","26","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","27","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","27","True","550442","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","28","True","650814","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","28","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"before","measured","29","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
"after","measured","29","True","546236","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"after","measured","30","True","568137","79ba36dedffc52034d931ed433d51c99d7037c20211df3466029da7027ebb649","2000","1000","1000","0","0","2000","0","True","4000","4","2000","2000","True"
"before","measured","30","False","0","033b6c4489b89646d402f140ac0748ea50fdaecd7aafc836013e0e6870459b9c","0","0","0","0","0","0","0","False","0","0","0","0","True"
